True,Unnamed: 0,Call ID,person_ID,Referal Source,Attorney,Injury 1,Injury 2,Injury 3,Injury 4,Injury 5,surgery,injury_date,intake,take,person_id,name,sex,date of birth,Person ID Check,Facebook,Google,Other,Referal,Website,Female,Male,Age of Client,Ankle,Arm,Elbow,Eye,Foot/Feet,Hand,Hands,Head,Hip,Neck
5206,5206,5342,5306,Referal,Patty Hewes,Eye,Head,,,,No,2014-02-15,2017-04-13,No,5306,Imogene Voller,Female,1985-02-18,0,0,0,0,1,0,1,0,10589 days 00:00:00.000000000,0,0,0,1,0,0,0,1,0,0
5207,5207,5343,5307,Website,Patty Hewes,Ankle,Hand,Neck,,,No,2015-03-17,2017-04-13,No,5307,William Tolbert,Male,1962-10-18,0,0,0,0,0,1,0,1,19143 days 00:00:00.000000000,1,0,0,0,0,1,0,0,0,1
5208,5208,5344,5308,Website,Ally Mcbeal,Hand,Eye,,,,Yes,2014-09-18,2017-04-13,No,5308,Agnes Fortin,Female,1978-05-10,0,0,0,0,0,1,1,0,13280 days 00:00:00.000000000,0,0,0,1,0,1,0,0,0,0
5209,5209,5345,5309,Website,Patty Hewes,Neck,,,,,Yes,2017-03-03,2017-04-13,Yes,5309,Amanda Thomas,Female,1953-10-17,0,0,0,0,0,1,1,0,23148 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,1
5210,5210,5346,5310,Referal,Patty Hewes,Hand,,,,,No,2016-02-19,2017-04-14,Yes,5310,Rebecca George,Female,1956-05-30,0,0,0,0,1,0,1,0,21814 days 00:00:00.000000000,0,0,0,0,0,1,0,0,0,0
5211,5211,5347,5311,,Patty Hewes,Hip,Neck,Arm,,,Yes,2012-09-06,2017-04-14,No,5311,Nicolas Diaz,Male,1968-07-07,0,0,0,0,0,0,0,1,16132 days 00:00:00.000000000,0,1,0,0,0,0,0,0,1,1
5212,5212,5348,5312,,Patty Hewes,Hip,,,,,No,2014-11-04,2017-04-14,No,5312,Carl Iman,Male,2007-11-17,0,0,0,0,0,0,0,1,2544 days 00:00:00.000000000,0,0,0,0,0,0,0,0,1,0
5213,5213,5349,5313,Other,Patty Hewes,Elbow,,,,,No,2013-01-15,2017-04-14,No,5313,Barbara Hobby,Female,1962-06-08,0,0,0,1,0,0,1,0,18484 days 00:00:00.000000000,0,0,1,0,0,0,0,0,0,0
5214,5214,5350,5314,Google,Atticus Finch,Hip,,,,,Yes,2013-07-10,2017-04-14,No,5314,Sharon Herbert,Female,2011-04-03,0,0,1,0,0,0,1,0,829 days 00:00:00.000000000,0,0,0,0,0,0,0,0,1,0
5215,5215,5351,5315,,Joanee Galloway,Hip,Ankle,Neck,,,Yes,2015-09-07,2017-04-14,Yes,5315,Frankie Nitcher,Male,1970-05-07,0,0,0,0,0,0,0,1,16559 days 00:00:00.000000000,1,0,0,0,0,0,0,0,1,1
5216,5216,5352,5316,Website,Joanee Galloway,Hand,,,,,No,2014-04-13,2017-04-14,No,5316,George Maia,Male,1974-06-07,0,0,0,0,0,1,0,1,14555 days 00:00:00.000000000,0,0,0,0,0,1,0,0,0,0
5217,5217,5353,5317,Facebook,Perry Mason,Neck,,,,,Yes,2012-09-16,2017-04-14,No,5317,Michelle Vu,Female,1982-03-08,0,1,0,0,0,0,1,0,11150 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,1
5218,5218,5354,5318,Facebook,Joanee Galloway,Hand,,,,,Yes,2012-02-09,2017-04-15,No,5318,Catherine Givens,Female,2002-04-09,0,1,0,0,0,0,1,0,3593 days 00:00:00.000000000,0,0,0,0,0,1,0,0,0,0
5219,5219,5355,5319,Website,Ally Mcbeal,Head,,,,,No,2016-03-05,2017-04-15,Yes,5319,Charles Frye,Male,1947-05-11,0,0,0,0,0,1,0,1,25136 days 00:00:00.000000000,0,0,0,0,0,0,0,1,0,0
5220,5220,5356,5320,,Rachel Zane,Head,Ankle,,,,No,2015-04-09,2017-04-16,No,5320,Gladys Rasset,Female,1956-09-12,0,0,0,0,0,0,1,0,21393 days 00:00:00.000000000,1,0,0,0,0,0,0,1,0,0
5221,5221,5357,5321,Website,Perry Mason,Eye,,,,,No,2014-02-04,2017-04-17,No,5321,Lizzie Brookins,Female,2007-07-30,0,0,0,0,0,1,1,0,2381 days 00:00:00.000000000,0,0,0,1,0,0,0,0,0,0
5222,5222,5358,5322,Website,Atticus Finch,Elbow,Foot/Feet,Hand,,,Yes,2016-08-29,2017-04-18,Yes,5322,Emma Johnson,Female,1952-05-17,0,0,0,0,0,1,1,0,23480 days 00:00:00.000000000,0,0,1,0,1,1,0,0,0,0
5223,5223,5359,5323,Referal,Patty Hewes,Hands,Hand,,,,No,2016-07-08,2017-04-18,Yes,5323,Randy Hines,Male,1962-08-16,0,0,0,0,1,0,0,1,19685 days 00:00:00.000000000,0,0,0,0,0,1,1,0,0,0
5224,5224,5360,5324,Other,Ally Mcbeal,Head,,,,,No,2015-12-12,2017-04-19,No,5324,Kathy Schuttler,Female,2024-07-06,0,0,0,1,0,0,1,0,-3129 days +00:00:00.000000000,0,0,0,0,0,0,0,1,0,0
5225,5225,5361,5325,Website,Perry Mason,Head,Foot/Feet,,,,Yes,2016-11-29,2017-04-19,No,5325,Marion Creighton,Female,1991-11-26,0,0,0,0,0,1,1,0,9135 days 00:00:00.000000000,0,0,0,0,1,0,0,1,0,0
5226,5226,5362,5326,Google,Rusty Sabich,Eye,Hip,,,,Yes,2010-02-20,2017-04-19,Yes,5326,Barbara Reyes,Female,1958-05-27,0,0,1,0,0,0,1,0,18897 days 00:00:00.000000000,0,0,0,1,0,0,0,0,1,0
5227,5227,5363,5327,Google,Perry Mason,Eye,Hip,Ankle,,,No,2014-10-22,2017-04-19,No,5327,Tim Grady,Male,1995-06-26,0,0,1,0,0,0,0,1,7058 days 00:00:00.000000000,1,0,0,1,0,0,0,0,1,0
5228,5228,5364,5328,,Daniel Kafee,Foot/Feet,Eye,,,,No,2016-01-12,2017-04-19,No,5328,Dean Williams,Male,1959-06-13,0,0,0,0,0,0,0,1,20667 days 00:00:00.000000000,0,0,0,1,1,0,0,0,0,0
5229,5229,5365,5329,Facebook,Joanee Galloway,Ankle,Hand,,,,No,2016-07-17,2017-04-19,No,5329,Connie Kelly,Female,,0,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,0,0,0
5230,5230,5366,5330,Google,Rusty Sabich,Eye,Elbow,,,,Yes,2013-06-30,2017-04-20,No,5330,Jacob Morgan,,1942-09-18,0,0,1,0,0,0,0,0,25853 days 00:00:00.000000000,0,0,1,1,0,0,0,0,0,0
5231,5231,5367,5331,Website,Joanee Galloway,Hip,Eye,Head,,,Yes,2013-08-15,2017-04-20,No,5331,Rebekah Lytch,Female,1974-03-11,0,0,0,0,0,1,1,0,14402 days 00:00:00.000000000,0,0,0,1,0,0,0,1,1,0
5232,5232,5368,5332,Website,Daniel Kafee,Hand,,,,,No,2015-11-26,2017-04-21,No,5332,Loan Brown,Female,1958-11-01,0,0,0,0,0,1,1,0,20844 days 00:00:00.000000000,0,0,0,0,0,1,0,0,0,0
5233,5233,5369,5333,Other,Rachel Zane,Hip,Ankle,,,,No,2015-11-25,2017-04-22,No,5333,Regina Revard,Female,1991-09-24,0,0,0,1,0,0,1,0,8828 days 00:00:00.000000000,1,0,0,0,0,0,0,0,1,0
5234,5234,5370,5334,Referal,Rachel Zane,Foot/Feet,Neck,Head,,,Yes,2015-10-08,2017-04-23,Yes,5334,Maria Cates,Female,1983-02-28,0,0,0,0,1,0,1,0,11910 days 00:00:00.000000000,0,0,0,0,1,0,0,1,0,1
5235,5235,5371,5335,Facebook,Daniel Kafee,Head,,,,,Yes,2015-04-05,2017-04-24,No,5335,Lin Oliphant,Female,2000-09-21,0,1,0,0,0,0,1,0,5309 days 00:00:00.000000000,0,0,0,0,0,0,0,1,0,0
5236,5236,5372,5336,Referal,Daniel Kafee,Hip,,,,,No,2016-10-14,2017-04-25,Yes,5336,Timothy Igbinosun,Male,1985-10-09,0,0,0,0,1,0,0,1,11328 days 00:00:00.000000000,0,0,0,0,0,0,0,0,1,0
5237,5237,5373,5337,,Joanee Galloway,Ankle,,,,,Yes,2015-10-28,2017-04-25,No,5337,Lois Doyle,Female,1964-07-02,0,0,0,0,0,0,1,0,18745 days 00:00:00.000000000,1,0,0,0,0,0,0,0,0,0
5238,5238,5374,5338,,Perry Mason,Hands,,,,,No,2016-06-22,2017-04-26,Yes,5338,Shannon Perkins,Male,1975-12-24,0,0,0,0,0,0,0,1,14791 days 00:00:00.000000000,0,0,0,0,0,0,1,0,0,0
5239,5239,5375,5339,Referal,Atticus Finch,Head,Foot/Feet,,,,Yes,2014-05-03,2017-04-27,No,5339,Lynne Gipson,Female,2000-06-12,0,0,0,0,1,0,1,0,5073 days 00:00:00.000000000,0,0,0,0,1,0,0,1,0,0
5240,5240,5376,5340,Facebook,Rusty Sabich,Elbow,Neck,Eye,,,Yes,2016-08-20,2017-04-27,Yes,5340,Kim Morris,Female,2001-10-13,0,1,0,0,0,0,1,0,5425 days 00:00:00.000000000,0,0,1,1,0,0,0,0,0,1
5241,5241,5377,5341,Other,Ally Mcbeal,Elbow,Hands,,,,No,2016-09-27,2017-04-28,No,5341,William Norman,Male,1948-08-09,0,0,0,1,0,0,0,1,24886 days 00:00:00.000000000,0,0,1,0,0,0,1,0,0,0
5242,5242,5378,5342,Other,Rachel Zane,Eye,,,,,Yes,2013-12-13,2017-04-29,No,5342,Steven Alleyne,Male,2036-09-15,0,0,0,1,0,0,0,1,-8312 days +00:00:00.000000000,0,0,0,1,0,0,0,0,0,0
5243,5243,5379,5343,Other,Patty Hewes,Hip,Eye,,,,No,2014-10-16,2017-04-29,No,5343,Herman Gerhardt,Male,1978-03-29,0,0,0,1,0,0,0,1,13350 days 00:00:00.000000000,0,0,0,1,0,0,0,0,1,0
5244,5244,5380,5344,Referal,Joanee Galloway,Arm,Neck,Hands,,,Yes,2014-10-22,2017-04-30,No,5344,Roberta Andrews,Female,2011-01-13,0,0,0,0,1,0,1,0,1378 days 00:00:00.000000000,0,1,0,0,0,0,1,0,0,1
5245,5245,5381,5345,Google,Rachel Zane,Head,Hand,Elbow,Hip,,No,2010-11-23,2017-05-01,No,5345,Terrence Mcneil,Male,1965-03-18,0,0,1,0,0,0,0,1,16686 days 00:00:00.000000000,0,0,1,0,0,1,0,1,1,0
5246,5246,5382,5346,Google,Daniel Kafee,Elbow,,,,,No,2015-02-19,2017-05-01,No,5346,Michele Greene,Female,2022-12-16,0,0,1,0,0,0,1,0,-2857 days +00:00:00.000000000,0,0,1,0,0,0,0,0,0,0
5247,5247,5383,5347,Facebook,Perry Mason,Head,Hip,,,,No,2015-04-01,2017-05-01,No,5347,Herbert Pritchard,Male,1988-03-15,0,1,0,0,0,0,0,1,9878 days 00:00:00.000000000,0,0,0,0,0,0,0,1,1,0
5248,5248,5384,5348,,Rachel Zane,Eye,Ankle,Elbow,,,No,2017-03-18,2017-05-02,Yes,5348,Tommy Decelle,Male,1952-06-10,0,0,0,0,0,0,0,1,23657 days 00:00:00.000000000,1,0,1,1,0,0,0,0,0,0
5249,5249,5385,5349,,Rusty Sabich,Head,Elbow,,,,No,2014-04-09,2017-05-03,No,5349,Darcy Collins,Female,1977-03-24,0,0,0,0,0,0,1,0,13530 days 00:00:00.000000000,0,0,1,0,0,0,0,1,0,0
5250,5250,5386,5350,Facebook,Joanee Galloway,Neck,Eye,,,,Yes,2015-09-16,2017-05-03,Yes,5350,Damon Spahn,Male,1946-11-27,0,1,0,0,0,0,0,1,25130 days 00:00:00.000000000,0,0,0,1,0,0,0,0,0,1
5251,5251,5387,5351,Website,Rusty Sabich,Foot/Feet,Head,,,,No,2016-09-21,2017-05-03,No,5351,Annie Weidman,Female,2006-06-18,0,0,0,0,0,1,1,0,3748 days 00:00:00.000000000,0,0,0,0,1,0,0,1,0,0
5252,5252,5388,5352,,Ally Mcbeal,Head,,,,,Yes,2011-07-13,2017-05-04,No,5352,Mary Novack,Female,1993-11-22,0,0,0,0,0,0,1,0,6442 days 00:00:00.000000000,0,0,0,0,0,0,0,1,0,0
5253,5253,5389,5353,Website,Patty Hewes,Head,Eye,,,,Yes,2016-10-31,2017-05-05,Yes,5353,Jason Richardson,Male,1983-03-17,0,0,0,0,0,1,0,1,12282 days 00:00:00.000000000,0,0,0,1,0,0,0,1,0,0
5254,5254,5390,5354,Facebook,Patty Hewes,Eye,Neck,Head,,,Yes,2013-09-21,2017-05-06,No,5354,Randolph Soltys,Male,1968-08-28,0,1,0,0,0,0,0,1,16460 days 00:00:00.000000000,0,0,0,1,0,0,0,1,0,1
5255,5255,5391,5355,,Ally Mcbeal,Foot/Feet,Head,Elbow,,,No,2014-09-19,2017-05-07,No,5355,Sara Park,Female,1979-03-02,0,0,0,0,0,0,1,0,12985 days 00:00:00.000000000,0,0,1,0,1,0,0,1,0,0
5256,5256,5392,5356,Website,Rachel Zane,Arm,,,,,Yes,2017-03-24,2017-05-07,Yes,5356,Kimberley Bell,Female,1970-07-13,0,0,0,0,0,1,1,0,17056 days 00:00:00.000000000,0,1,0,0,0,0,0,0,0,0
5257,5257,5393,5357,Facebook,Daniel Kafee,Neck,,,,,Yes,2016-04-16,2017-05-08,Yes,5357,Alex Hardman,Male,1981-12-08,0,1,0,0,0,0,0,1,12548 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,1
5258,5258,5394,5358,Facebook,Rusty Sabich,Foot/Feet,Eye,Elbow,,,No,2010-05-27,2017-05-08,No,5358,Erik Hundley,Male,1969-03-03,0,1,0,0,0,0,0,1,15060 days 00:00:00.000000000,0,0,1,1,1,0,0,0,0,0
5259,5259,5395,5359,Google,Perry Mason,Neck,Eye,,,,No,2016-06-25,2017-05-09,Yes,5359,Marian Breedlove,Female,1964-11-18,0,0,1,0,0,0,1,0,18847 days 00:00:00.000000000,0,0,0,1,0,0,0,0,0,1
5260,5260,5396,5360,,Daniel Kafee,Foot/Feet,,,,,No,2012-12-04,2017-05-10,No,5360,Mark Klapper,Male,1976-04-05,0,0,0,0,0,0,0,1,13392 days 00:00:00.000000000,0,0,0,0,1,0,0,0,0,0
5261,5261,5397,5361,,Daniel Kafee,Head,Hip,,,,No,2016-03-31,2017-05-11,Yes,5361,Danielle Durant,Female,1968-05-04,0,0,0,0,0,0,1,0,17498 days 00:00:00.000000000,0,0,0,0,0,0,0,1,1,0
5262,5262,5398,5362,Facebook,Patty Hewes,Foot/Feet,Elbow,,,,No,2014-01-31,2017-05-11,No,5362,Samuel Cortez,Male,1947-03-19,0,1,0,0,0,0,0,1,24425 days 00:00:00.000000000,0,0,1,0,1,0,0,0,0,0
5263,5263,5399,5363,Website,Rusty Sabich,Elbow,Head,,,,Yes,2010-07-02,2017-05-11,No,5363,Mary Terranova,Female,1981-03-16,0,0,0,0,0,1,1,0,10700 days 00:00:00.000000000,0,0,1,0,0,0,0,1,0,0
5264,5264,5400,5364,Google,Perry Mason,Hand,,,,,Yes,2013-12-16,2017-05-12,No,5364,Gregory Pedroza,Male,1978-01-17,0,0,1,0,0,0,0,1,13117 days 00:00:00.000000000,0,0,0,0,0,1,0,0,0,0
5265,5265,5401,5365,Referal,Perry Mason,Hip,Arm,,,,No,2016-12-22,2017-05-13,Yes,5365,James Walker,Male,1983-04-10,0,0,0,0,1,0,0,1,12310 days 00:00:00.000000000,0,1,0,0,0,0,0,0,1,0
5266,5266,5402,5366,Facebook,Patty Hewes,Neck,,,,,Yes,2013-10-31,2017-05-13,No,5366,Maria Mejia,Female,1973-10-01,0,1,0,0,0,0,1,0,14640 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,1
5267,5267,5403,5367,Referal,Daniel Kafee,Head,Neck,Hands,,,Yes,2016-10-03,2017-05-14,Yes,5367,Donald Degaetano,Male,1967-01-10,0,0,0,0,1,0,0,1,18164 days 00:00:00.000000000,0,0,0,0,0,0,1,1,0,1
5268,5268,5404,5368,Other,Daniel Kafee,Hip,,,,,Yes,2015-11-08,2017-05-15,No,5368,Kevin Dean,Male,1963-02-04,0,0,0,1,0,0,0,1,19270 days 00:00:00.000000000,0,0,0,0,0,0,0,0,1,0
5269,5269,5405,5369,,Patty Hewes,Eye,Ankle,Head,,,No,2015-03-13,2017-05-15,No,5369,Heather Presson,Female,1986-06-15,0,0,0,0,0,0,1,0,10498 days 00:00:00.000000000,1,0,0,1,0,0,0,1,0,0
5270,5270,5406,5370,Referal,Rusty Sabich,Neck,Eye,,,,Yes,2017-03-03,2017-05-15,Yes,5370,Fabian Peavy,Male,1980-11-22,0,0,0,0,1,0,0,1,13250 days 00:00:00.000000000,0,0,0,1,0,0,0,0,0,1
5271,5271,5407,5371,,,Head,Ankle,,,,Yes,2014-04-12,2017-05-15,No,5371,Gary Pugh,Male,1999-09-01,0,0,0,0,0,0,0,1,5337 days 00:00:00.000000000,1,0,0,0,0,0,0,1,0,0
5272,5272,5408,5372,,Joanee Galloway,Hand,,,,,No,2016-07-27,2017-05-16,Yes,5372,Barbara Hoskins,Female,1984-03-20,0,0,0,0,0,0,1,0,11817 days 00:00:00.000000000,0,0,0,0,0,1,0,0,0,0
5273,5273,5409,5373,,Ally Mcbeal,Neck,,,,,Yes,2015-10-02,2017-05-17,Yes,5373,John Rascon,Male,1974-09-13,0,0,0,0,0,0,0,1,14994 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,1
5274,5274,5410,5374,Facebook,Patty Hewes,Neck,,,,,Yes,2017-04-04,2017-05-17,Yes,5374,Phillip Gasca,Male,1976-09-23,0,1,0,0,0,0,0,1,14803 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,1
5275,5275,5411,5375,Website,Joanee Galloway,Hands,Hand,,,,No,2016-01-27,2017-05-18,Yes,5375,Catherine Yi,Female,1954-01-24,0,0,0,0,0,1,1,0,22648 days 00:00:00.000000000,0,0,0,0,0,1,1,0,0,0
5276,5276,5412,5376,Google,Atticus Finch,Neck,,,,,Yes,2014-05-27,2017-05-19,No,5376,Charles Harritt,Male,1973-11-28,0,0,1,0,0,0,0,1,14790 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,1
5277,5277,5413,5377,Other,Daniel Kafee,Neck,Hands,,,,Yes,2016-05-10,2017-05-20,Yes,5377,Patricia Seabaugh,Female,,0,0,0,1,0,0,1,0,,0,0,0,0,0,0,1,0,0,1
5278,5278,5414,5378,Google,Rachel Zane,Hip,Foot/Feet,Elbow,,,No,2016-04-07,2017-05-21,Yes,5378,Viola Villarreal,Female,1953-09-04,0,0,1,0,0,0,1,0,22861 days 00:00:00.000000000,0,0,1,0,1,0,0,0,1,0
5279,5279,5415,5379,Referal,Joanee Galloway,Eye,Neck,Hip,,,Yes,2017-04-03,2017-05-22,Yes,5379,Christopher Cannon,Male,2002-10-24,0,0,0,0,1,0,0,1,5275 days 00:00:00.000000000,0,0,0,1,0,0,0,0,1,1
5280,5280,5416,5380,Website,Rusty Sabich,Hand,,,,,Yes,2016-06-22,2017-05-23,No,5380,Susan Mccorrison,Female,1980-10-04,0,0,0,0,0,1,1,0,13045 days 00:00:00.000000000,0,0,0,0,0,1,0,0,0,0
5281,5281,5417,5381,Website,Rusty Sabich,Neck,Foot/Feet,,,,Yes,2011-11-02,2017-05-23,No,5381,James Gray,Male,1998-11-28,0,0,0,0,0,1,0,1,4722 days 00:00:00.000000000,0,0,0,0,1,0,0,0,0,1
5282,5282,5418,5382,Referal,Joanee Galloway,Foot/Feet,Ankle,Hands,,,Yes,2017-04-12,2017-05-24,Yes,5382,John Depue,Male,1964-04-19,0,0,0,0,1,0,0,1,19351 days 00:00:00.000000000,1,0,0,0,1,0,1,0,0,0
5283,5283,5419,5383,Google,Joanee Galloway,Elbow,Neck,Eye,,,Yes,2012-07-25,2017-05-25,No,5383,Bernice Coonrod,Female,2009-01-13,0,0,1,0,0,0,1,0,1289 days 00:00:00.000000000,0,0,1,1,0,0,0,0,0,1
5284,5284,5420,5384,Other,Atticus Finch,Hands,,,,,No,2011-11-02,2017-05-26,No,5384,Scott Argento,Male,1976-10-03,0,0,0,1,0,0,0,1,12813 days 00:00:00.000000000,0,0,0,0,0,0,1,0,0,0
5285,5285,5421,5385,Google,Ally Mcbeal,Head,Eye,,,,Yes,2014-05-23,2017-05-27,No,5385,Evan Thomas,Male,1990-03-01,0,0,1,0,0,0,0,1,8849 days 00:00:00.000000000,0,0,0,1,0,0,0,1,0,0
5286,5286,5422,5386,Referal,Ally Mcbeal,Neck,Foot/Feet,Hip,,,No,2014-09-09,2017-05-28,No,5386,Joe Mendez,Male,2009-04-21,0,0,0,0,1,0,0,1,1967 days 00:00:00.000000000,0,0,0,0,1,0,0,0,1,1
5287,5287,5423,5387,Referal,Patty Hewes,Arm,,,,,Yes,2014-02-22,2017-05-28,No,5387,Edward Paige,Male,2000-05-29,0,0,0,0,1,0,0,1,5017 days 00:00:00.000000000,0,1,0,0,0,0,0,0,0,0
5288,5288,5424,5388,,Rachel Zane,Hands,Hand,Head,,,Yes,2014-08-08,2017-05-28,No,5388,James Elliott,Male,1968-03-07,0,0,0,0,0,0,0,1,16955 days 00:00:00.000000000,0,0,0,0,0,1,1,1,0,0
5289,5289,5425,5389,,Rachel Zane,Eye,Hands,,,,Yes,2015-03-18,2017-05-29,No,5389,Wayne Richard,Male,2009-05-28,0,0,0,0,0,0,0,1,2120 days 00:00:00.000000000,0,0,0,1,0,0,1,0,0,0
5290,5290,5426,5390,Google,Daniel Kafee,Foot/Feet,Hand,,,,Yes,2015-01-30,2017-05-29,No,5390,Eugene Courtwright,Male,1996-10-03,0,0,1,0,0,0,0,1,6693 days 00:00:00.000000000,0,0,0,0,1,1,0,0,0,0
5291,5291,5427,5391,Referal,Joanee Galloway,Hip,,,,,Yes,2015-04-08,2017-05-30,No,5391,Maureen Bridges,Female,1992-09-22,0,0,0,0,1,0,1,0,8233 days 00:00:00.000000000,0,0,0,0,0,0,0,0,1,0
5292,5292,5428,5392,,Joanee Galloway,Neck,,,,,Yes,2017-01-14,2017-05-30,Yes,5392,Courtney Dann,Female,1977-01-16,0,0,0,0,0,0,1,0,14608 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,1
5293,5293,5429,5393,Facebook,Rusty Sabich,Neck,Ankle,Foot/Feet,,,Yes,2015-12-30,2017-05-31,Yes,5393,Roberta Ufford,Female,1972-08-31,0,1,0,0,0,0,1,0,15826 days 00:00:00.000000000,1,0,0,0,1,0,0,0,0,1
5294,5294,5430,5394,,Rusty Sabich,Eye,Hand,,,,No,2017-05-31,2017-06-01,No,5394,Melvin Castillo,Male,1947-04-16,0,0,0,0,0,0,0,1,25613 days 00:00:00.000000000,0,0,0,1,0,1,0,0,0,0
5295,5295,5431,5395,,Ally Mcbeal,Neck,,,,,Yes,2013-11-25,2017-06-02,No,5395,Kenneth Buford,Male,1972-07-13,0,0,0,0,0,0,0,1,15110 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,1
5296,5296,5432,5396,Other,Rusty Sabich,Hip,,,,,No,2016-06-08,2017-06-02,No,5396,Michael Leahy,Male,1980-07-22,0,0,0,1,0,0,0,1,13105 days 00:00:00.000000000,0,0,0,0,0,0,0,0,1,0
5297,5297,5433,5397,Website,Atticus Finch,Hand,,,,,No,2016-10-10,2017-06-03,No,5397,Verna Souza,Female,1974-06-01,0,0,0,0,0,1,1,0,15472 days 00:00:00.000000000,0,0,0,0,0,1,0,0,0,0
5298,5298,5434,5398,,,Hand,Eye,Hip,,,No,2016-12-22,2017-06-03,No,5398,Alfred Krick,Male,2003-09-17,0,0,0,0,0,0,0,1,4845 days 00:00:00.000000000,0,0,0,1,0,1,0,0,1,0
5299,5299,5435,5399,,,Hip,Hand,Eye,,,No,2015-06-12,2017-06-04,No,5399,Kenya Harris,Female,1995-05-05,0,0,0,0,0,0,1,0,7343 days 00:00:00.000000000,0,0,0,1,0,1,0,0,1,0
5300,5300,5436,5400,Facebook,Rusty Sabich,Head,Ankle,Arm,Foot/Feet,,No,2012-04-01,2017-06-04,No,5400,Jana Snapp,Female,1944-10-01,0,1,0,0,0,0,1,0,24654 days 00:00:00.000000000,1,1,0,0,1,0,0,1,0,0
5301,5301,5437,5401,,Perry Mason,Head,Hip,Neck,,,Yes,2015-11-07,2017-06-05,Yes,5401,Bob Freeman,Male,1994-04-09,0,0,0,0,0,0,0,1,7882 days 00:00:00.000000000,0,0,0,0,0,0,0,1,1,1
5302,5302,5438,5402,Other,Perry Mason,Hands,Ankle,Arm,,,No,2015-05-24,2017-06-06,No,5402,Mary Hight,Female,1999-03-12,0,0,0,1,0,0,1,0,5917 days 00:00:00.000000000,1,1,0,0,0,0,1,0,0,0
5303,5303,5439,5403,,Patty Hewes,Eye,Elbow,,,,Yes,2014-04-23,2017-06-07,No,5403,Karen Byrne,Female,1966-04-11,0,0,0,0,0,0,1,0,17544 days 00:00:00.000000000,0,0,1,1,0,0,0,0,0,0
5304,5304,5440,5404,Other,Rusty Sabich,Ankle,,,,,Yes,2015-10-24,2017-06-08,No,5404,Barbara Holland,Female,1998-08-26,0,0,0,1,0,0,1,0,6268 days 00:00:00.000000000,1,0,0,0,0,0,0,0,0,0
5305,5305,5441,5405,,Ally Mcbeal,Head,,,,,Yes,2016-07-31,2017-06-08,No,5405,Meaghan Morrell,Female,1997-08-09,0,0,0,0,0,0,1,0,6931 days 00:00:00.000000000,0,0,0,0,0,0,0,1,0,0
5306,5306,5442,5406,Referal,Patty Hewes,Ankle,Eye,Foot/Feet,,,No,2015-07-29,2017-06-08,Yes,5406,Rebecca Johnson,Female,1970-12-20,0,0,0,0,1,0,1,0,16292 days 00:00:00.000000000,1,0,0,1,1,0,0,0,0,0
5307,5307,5443,5407,Referal,Perry Mason,Arm,Hip,,,,Yes,2016-10-22,2017-06-09,Yes,5407,Mary Maguire,Female,1996-04-28,0,0,0,0,1,0,1,0,7482 days 00:00:00.000000000,0,1,0,0,0,0,0,0,1,0
5308,5308,5444,5408,Website,Rusty Sabich,Hip,Ankle,Elbow,,,No,2015-10-16,2017-06-09,Yes,5408,Matthew Richard,Male,1975-08-21,0,0,0,0,0,1,0,1,14666 days 00:00:00.000000000,1,0,1,0,0,0,0,0,1,0
5309,5309,5445,5409,Google,,Head,Ankle,,,,No,2010-02-20,2017-06-10,Yes,5409,Shirley Gandy,Female,2006-01-17,0,0,1,0,0,0,1,0,1495 days 00:00:00.000000000,1,0,0,0,0,0,0,1,0,0
5310,5310,5446,5410,Referal,Rusty Sabich,Arm,,,,,Yes,2013-08-29,2017-06-11,No,5410,David Jones,Male,2026-02-27,0,0,0,0,1,0,0,1,-4565 days +00:00:00.000000000,0,1,0,0,0,0,0,0,0,0
5311,5311,5447,5411,Other,Joanee Galloway,Neck,,,,,Yes,2017-02-25,2017-06-12,Yes,5411,Eileen Massey,Female,1995-03-30,0,0,0,1,0,0,1,0,8003 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,1
5312,5312,5448,5412,Website,Joanee Galloway,Eye,Hand,,,,No,2016-12-14,2017-06-13,Yes,5412,Tanya Bunton,Female,1965-05-26,0,0,0,0,0,1,1,0,18830 days 00:00:00.000000000,0,0,0,1,0,1,0,0,0,0
5313,5313,5449,5413,,Ally Mcbeal,Head,Foot/Feet,Neck,,,No,2016-09-12,2017-06-13,No,5413,Gary Daley,Male,1978-01-08,0,0,0,0,0,0,0,1,14127 days 00:00:00.000000000,0,0,0,0,1,0,0,1,0,1
5314,5314,5450,5414,Google,Atticus Finch,Arm,Ankle,Eye,,,No,2013-04-17,2017-06-13,No,5414,Richard Root,Male,1964-01-03,0,0,1,0,0,0,0,1,18002 days 00:00:00.000000000,1,1,0,1,0,0,0,0,0,0
